start [rev],end [rev],duration [rev],comment
2924.293409,2924.429520,0.136111,Missing On-Ground reconstructed Attitude (OGA-3)
3045.107297,3048.185074,3.077778,Missing On-Ground reconstructed Attitude (OGA-3)
3164.678128,3164.689239,0.011111,Missing On-Ground reconstructed Attitude (OGA-3)
3205.136461,3205.187850,0.051389,Missing On-Ground reconstructed Attitude (OGA-3)
3254.086460,3254.287849,0.201389,Missing On-Ground reconstructed Attitude (OGA-3)
3269.454515,3269.482293,0.027778,Missing On-Ground reconstructed Attitude (OGA-3)
3271.503127,3271.535071,0.031944,Missing On-Ground reconstructed Attitude (OGA-3)
3284.671182,3284.687849,0.016667,Missing On-Ground reconstructed Attitude (OGA-3)
3284.705904,3284.712849,0.006944,Missing On-Ground reconstructed Attitude (OGA-3)
3314.862848,3314.883681,0.020833,Missing On-Ground reconstructed Attitude (OGA-3)
3317.535070,3317.567015,0.031944,Missing On-Ground reconstructed Attitude (OGA-3)
3412.036458,3412.039236,0.002778,Missing On-Ground reconstructed Attitude (OGA-3)
3472.155901,3472.223957,0.068056,Missing On-Ground reconstructed Attitude (OGA-3)
3541.598956,3541.604512,0.005556,Missing On-Ground reconstructed Attitude (OGA-3)
3542.112845,3542.326734,0.213889,Missing On-Ground reconstructed Attitude (OGA-3)
3603.251733,3605.233677,1.981944,Missing On-Ground reconstructed Attitude (OGA-3)
3605.314233,3605.339233,0.025000,Missing On-Ground reconstructed Attitude (OGA-3)
3605.360066,3605.460066,0.100000,Missing On-Ground reconstructed Attitude (OGA-3)
