start,end,"duration [rev]",description,"CCD row",origin
1508.945070,1508.947910,0.002840,Payload data handling unit update,4,ObjectLog
1510.489608,1510.490765,0.001157,Micro-meteoroid hit,4,AGIS
1510.489608,1510.490765,0.001157,Micro-meteoroid hit,5,AGIS
1510.489608,1510.490765,0.001157,Micro-meteoroid hit,6,AGIS
1510.489608,1510.490765,0.001157,Micro-meteoroid hit,7,AGIS
1514.782617,1514.783774,0.001157,Micro-meteoroid hit,4,AGIS
1514.782617,1514.783774,0.001157,Micro-meteoroid hit,5,AGIS
1514.782617,1514.783774,0.001157,Micro-meteoroid hit,6,AGIS
1514.782617,1514.783774,0.001157,Micro-meteoroid hit,7,AGIS
1525.815996,1525.817154,0.001158,Micro-meteoroid hit,4,AGIS
1525.815996,1525.817154,0.001158,Micro-meteoroid hit,5,AGIS
1525.815996,1525.817154,0.001158,Micro-meteoroid hit,6,AGIS
1525.815996,1525.817154,0.001158,Micro-meteoroid hit,7,AGIS
1562.643927,1562.646798,0.002871,VPU-6 anomaly,6,ObjectLog
1566.911061,1566.914008,0.002947,VPU-6 anomaly,6,ObjectLog
1574.443987,1574.447396,0.003409,VPU-7 anomaly,7,ObjectLog
1584.208958,1584.210347,0.001389,Micro-meteoroid hit,4,AGIS
1584.208958,1584.210347,0.001389,Micro-meteoroid hit,5,AGIS
1584.208958,1584.210347,0.001389,Micro-meteoroid hit,6,AGIS
1584.208958,1584.210347,0.001389,Micro-meteoroid hit,7,AGIS
1588.559838,1588.563773,0.003935,Micro-meteoroid hit,4,AGIS
1588.559838,1588.563773,0.003935,Micro-meteoroid hit,5,AGIS
1588.559838,1588.563773,0.003935,Micro-meteoroid hit,6,AGIS
1588.559838,1588.563773,0.003935,Micro-meteoroid hit,7,AGIS
1598.567241,1598.570352,0.003111,VPU-5 anomaly,5,ObjectLog
1599.801186,1599.806755,0.005569,Unknown,5,ObjectLog
1606.500586,1606.504300,0.003714,Station-keeping manoeuvre #14,4,ObjectLog
1606.500603,1606.504300,0.003697,Station-keeping manoeuvre #14,7,ObjectLog
1606.500935,1606.504290,0.003356,Station-keeping manoeuvre #14,5,ObjectLog
1606.501183,1606.504289,0.003106,Station-keeping manoeuvre #14,6,ObjectLog
1606.504541,1606.698986,0.194444,Station-keeping manoeuvre #14,4,AGIS
1606.504541,1606.698986,0.194444,Station-keeping manoeuvre #14,5,AGIS
1606.504541,1606.698986,0.194444,Station-keeping manoeuvre #14,6,AGIS
1606.504541,1606.698986,0.194444,Station-keeping manoeuvre #14,7,AGIS
1623.568022,1623.574099,0.006078,AOCS operations,6,ObjectLog
1623.568969,1623.572520,0.003550,AOCS operations,4,ObjectLog
1623.569145,1623.572399,0.003255,AOCS operations,5,ObjectLog
1623.569401,1623.572395,0.002994,AOCS operations,7,ObjectLog
1623.569669,1623.572558,0.002889,AOCS operations,5,ObjectLog
1623.569689,1623.573027,0.003338,AOCS operations,7,ObjectLog
1623.569713,1623.572558,0.002845,AOCS operations,6,ObjectLog
1623.569772,1623.572585,0.002813,AOCS operations,7,ObjectLog
1623.569816,1623.573186,0.003369,AOCS operations,4,ObjectLog
1623.569841,1623.572696,0.002855,AOCS operations,6,ObjectLog
1623.569851,1623.572661,0.002810,AOCS operations,5,ObjectLog
1623.569879,1623.572734,0.002856,AOCS operations,7,ObjectLog
1623.569936,1623.572791,0.002855,AOCS operations,5,ObjectLog
1623.569970,1623.573010,0.003040,AOCS operations,6,ObjectLog
1623.570015,1623.573027,0.003011,AOCS operations,7,ObjectLog
1623.570073,1623.573254,0.003181,AOCS operations,5,ObjectLog
1623.570304,1623.574061,0.003757,AOCS operations,7,ObjectLog
1623.570338,1623.573216,0.002878,AOCS operations,6,ObjectLog
1623.570401,1623.573235,0.002834,AOCS operations,7,ObjectLog
1623.570469,1623.573352,0.002882,AOCS operations,4,ObjectLog
1623.570502,1623.573296,0.002794,AOCS operations,6,ObjectLog
1623.570521,1623.573542,0.003021,AOCS operations,7,ObjectLog
1623.570556,1623.573583,0.003027,AOCS operations,5,ObjectLog
1623.570575,1623.573387,0.002812,AOCS operations,6,ObjectLog
1623.570623,1623.573429,0.002806,AOCS operations,4,ObjectLog
1623.570702,1623.573503,0.002801,AOCS operations,4,ObjectLog
1623.570703,1623.573492,0.002789,AOCS operations,6,ObjectLog
1623.570775,1623.573688,0.002913,AOCS operations,6,ObjectLog
1623.570785,1623.573837,0.003053,AOCS operations,4,ObjectLog
1623.570883,1623.573733,0.002850,AOCS operations,5,ObjectLog
1623.570886,1623.573682,0.002796,AOCS operations,7,ObjectLog
1623.570948,1624.217060,0.646112,AOCS operations,4,AGIS
1623.570948,1624.217060,0.646112,AOCS operations,5,AGIS
1623.570948,1624.217060,0.646112,AOCS operations,6,AGIS
1623.570948,1624.217060,0.646112,AOCS operations,7,AGIS
1623.570965,1623.573761,0.002797,AOCS operations,7,ObjectLog
1623.571009,1623.573825,0.002816,AOCS operations,6,ObjectLog
1623.571011,1623.574092,0.003081,AOCS operations,5,ObjectLog
1623.571049,1623.573936,0.002887,AOCS operations,7,ObjectLog
1623.571105,1623.573883,0.002778,AOCS operations,6,ObjectLog
1623.571106,1623.573886,0.002780,AOCS operations,4,ObjectLog
1623.571158,1623.574061,0.002903,AOCS operations,6,ObjectLog
1623.571168,1623.574099,0.002932,AOCS operations,4,ObjectLog
1625.078078,1625.084560,0.006482,Micro-meteoroid hit,4,AGIS
1625.078078,1625.084560,0.006482,Micro-meteoroid hit,5,AGIS
1625.078078,1625.084560,0.006482,Micro-meteoroid hit,6,AGIS
1625.078078,1625.084560,0.006482,Micro-meteoroid hit,7,AGIS
1628.616411,1628.619189,0.002778,Micro-meteoroid hit,4,AGIS
1628.616411,1628.619189,0.002778,Micro-meteoroid hit,5,AGIS
1628.616411,1628.619189,0.002778,Micro-meteoroid hit,6,AGIS
1628.616411,1628.619189,0.002778,Micro-meteoroid hit,7,AGIS
1632.296692,1632.299578,0.002886,VPU-7 anomaly,7,ObjectLog
1637.778309,1637.779235,0.000926,Micro-meteoroid hit,4,AGIS
1637.778309,1637.779235,0.000926,Micro-meteoroid hit,5,AGIS
1637.778309,1637.779235,0.000926,Micro-meteoroid hit,6,AGIS
1637.778309,1637.779235,0.000926,Micro-meteoroid hit,7,AGIS
1649.117041,1649.133707,0.016667,Payload data handling unit anomaly,4,AGIS
1649.117041,1649.133707,0.016667,Payload data handling unit anomaly,5,AGIS
