RA,DEC,APOGEE,FIELD,LOCATION_ID,RADIUS,cohort,Hmin,Hmax,JK0min,JK0max,fracSampling,fracAK,GLON,GLAT
291.76638,42.693583,1,075+12,4299,1.49,long,12.8,13.8,0.5,999.0,0.0,1.0,74.99995322486915,12.000094763286322
267.184,48.1081,1,075+30,4525,1.49,short,7.0,12.2,0.5,999.0,0.2833,0.9391,74.99997382823491,30.000115666665007
267.184,48.1081,1,075+30,4525,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,74.99997382823491,30.000115666665007
267.184,48.1081,1,075+30,4525,1.49,long,12.8,13.3,0.5,999.0,0.0,1.0,74.99997382823491,30.000115666665007
259.33333,48.442222,1,075+35,4453,1.49,short,7.0,12.2,0.5,999.0,0.4734,0.9226,74.80509280411428,35.230952298382604
259.33333,48.442222,1,075+35,4453,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,74.80509280411428,35.230952298382604
259.33333,48.442222,1,075+35,4453,1.49,long,12.8,13.8,0.5,999.0,0.0,1.0,74.80509280411428,35.230952298382604
311.12,33.0502,1,075-06,4297,1.49,short,7.0,12.2,0.5,999.0,0.0317,0.8306,74.99992305290375,-5.99991519051163
311.12,33.0502,1,075-06,4297,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,74.99992305290375,-5.99991519051163
311.12,33.0502,1,075-06,4297,1.49,long,12.8,13.3,0.5,999.0,0.0,1.0,74.99992305290375,-5.99991519051163
316.53808,29.239972,1,075-12,4296,1.49,short,7.0,12.2,0.5,999.0,0.075,0.8855,74.9999035881586,-11.999899942247556
316.53808,29.239972,1,075-12,4296,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,74.9999035881586,-11.999899942247556
316.53808,29.239972,1,075-12,4296,1.49,long,12.8,13.8,0.5,999.0,0.0,1.0,74.9999035881586,-11.999899942247556
341.02104,5.69431,1,075-45,4474,1.49,short,7.0,12.2,0.5,999.0,0.4106,0.9499,74.99981182647917,-44.999895548371164
341.02104,5.69431,1,075-45,4474,1.49,medium,12.2,12.8,0.5,999.0,0.0808,0.967,74.99981182647917,-44.999895548371164
341.02104,5.69431,1,075-45,4474,1.49,long,12.8,13.3,0.5,999.0,0.0,1.0,74.99981182647917,-44.999895548371164
308.1882,39.8618,2,079+00,5037,1.49,short_blue,7.0,12.2,0.5,0.8,0.0275,0.7817,79.00004983458138,-5.807194236612629e-05
308.1882,39.8618,2,079+00,5037,1.49,short_red,7.0,12.2,0.8,999.0,0.0241,0.7817,79.00004983458138,-5.807194236612629e-05
308.1882,39.8618,2,079+00,5037,1.49,medium_blue,12.2,12.8,0.5,0.8,0.0101,0.7265,79.00004983458138,-5.807194236612629e-05
308.1882,39.8618,2,079+00,5037,1.49,medium_red,12.2,12.8,0.8,999.0,0.0298,0.7265,79.00004983458138,-5.807194236612629e-05
308.1882,39.8618,2,079+00,5037,1.49,long_blue,12.8,13.3,0.5,0.8,0.0,1.0,79.00004983458138,-5.807194236612629e-05
308.1882,39.8618,2,079+00,5037,1.49,long_red,12.8,13.3,0.8,999.0,0.0,1.0,79.00004983458138,-5.807194236612629e-05
314.1648,36.1402,2,079-06,5140,1.49,short_blue,7.0,12.2,0.5,0.8,0.0215,0.8161,79.00005075271878,-6.000104419537979
314.1648,36.1402,2,079-06,5140,1.49,short_red,7.0,12.2,0.8,999.0,0.0934,0.8161,79.00005075271878,-6.000104419537979
314.1648,36.1402,2,079-06,5140,1.49,medium_blue,12.2,12.8,0.5,0.8,0.0278,0.7591,79.00005075271878,-6.000104419537979
314.1648,36.1402,2,079-06,5140,1.49,medium_red,12.2,12.8,0.8,999.0,0.5175,0.7591,79.00005075271878,-6.000104419537979
314.1648,36.1402,2,079-06,5140,1.49,long_blue,12.8,13.3,0.5,0.8,0.0,1.0,79.00005075271878,-6.000104419537979
314.1648,36.1402,2,079-06,5140,1.49,long_red,12.8,13.3,0.8,999.0,0.0,1.0,79.00005075271878,-6.000104419537979
319.5814,32.1493,2,079-12,5134,1.49,short_blue,7.0,12.2,0.5,0.8,0.0453,0.8982,79.00004450612212,-12.000071054310988
319.5814,32.1493,2,079-12,5134,1.49,short_red,7.0,12.2,0.8,999.0,0.3968,0.8982,79.00004450612212,-12.000071054310988
319.5814,32.1493,2,079-12,5134,1.49,medium_blue,12.2,12.8,0.5,0.8,0.1245,0.8741,79.00004450612212,-12.000071054310988
319.5814,32.1493,2,079-12,5134,1.49,medium_red,12.2,12.8,0.8,999.0,0.8571,0.8741,79.00004450612212,-12.000071054310988
319.5814,32.1493,2,079-12,5134,1.49,long_blue,12.8,13.3,0.5,0.8,0.0,1.0,79.00004450612212,-12.000071054310988
319.5814,32.1493,2,079-12,5134,1.49,long_red,12.8,13.3,0.8,999.0,0.0,1.0,79.00004450612212,-12.000071054310988
222.2829,46.1125,1,080+60,4498,1.49,short,7.0,12.2,0.5,999.0,0.5441,0.9613,80.000124928822,60.0000408124194
222.2829,46.1125,1,080+60,4498,1.49,medium,12.2,12.8,0.5,999.0,0.0863,0.9736,80.000124928822,60.0000408124194
